date,signal,direction,quote,source,url
2025-11-11,"3Q25: 코스맥스 매출 +10.5%/영업이익 -1.6%, 한국콜마 +9.0%; 증권사 14곳 코스맥스 목표주가 27만→22만원대(-20%) 하향. 중견 ODM(코스메카 +44%)이 추격",loose,전날 코스맥스에 대한 종목 보고서를 낸 증권사 14곳이 목표주가를 27만원대에서 22만원대로 약 20% 하향 조정,그린포스트코리아,https://www.greenpostkorea.co.kr/news/articleView.html?idxno=304878
2026-01-05,키움: ODM 2026 매출 +10~15% 전망. 4Q25는 조업일수·고객사 재고조정으로 둔화. 인디 고객사는 장기발주 대신 채널 반응에 따라 물량 조정 → 단납기 수주 비중 확대. 한국콜마 미국법인 립 고객사 수주 감소(-50% YoY),mixed,인디 뷰티 고객사들의 특성상 장기 발주보다는 채널 반응에 따라 수주 물량이 탄력적으로 조정되는 경향이 강해지고 있다 … 단납기 수주 비중이 확대,키움증권 조소정,https://bbn.kiwoom.com/rfCI5514
2026-01-08,ODM 딜레마: 소량·다품종 주문 증가로 효율·마진 압박. 수주가 '싸게 만들어 달라'에 가까워짐 (가격 협상력이 브랜드 쪽),loose,최근 ODM 수주는 '얼마나 많이 만드느냐'보다 '얼마나 싸게 만들어 달라느냐'에 가까워지고 있다,쿠키뉴스 (뷰티업계 관계자),https://www.kukinews.com/article/view/kuk202601070221
2026-01-14,"삼성증권: 코스맥스 4Q25 컨센 하회 우려 — 고객사의 고수익·대량 주문 감소. 코스맥스·콜마 '정체', 코스메카 '질주'",loose,고객사의 고수익·대량 주문이 줄어든 점,뉴스워커 (삼성증권 인용),http://www.newsworker.co.kr/news/articleView.html?idxno=410504
2026-03-18,메리츠: 1Q26 코스맥스·한국콜마 국내 매출 YoY 20% 내외 — 연간 가이던스(10~13%)를 훌쩍 상회. 국내 공장 가동률 계속 상승. 하이드로겔 라인은 캐파 부족으로 2교대·증설(제닉 풀캐파),tight,코스맥스/한국콜마 등 주요 ODM 업체들의 국내 공장 가동률은 계속 올라가고 있다 … 생산 캐파가 부족한 상황이기 때문에 두세개 라인은 2교대로 꾸릴 계획이다,메리츠증권 (화장품 업종 리포트),https://home.imeritz.com/include/resource/research/WorkFlow/20260318085841613K_02.pdf
2026-04-22,나프타 대란: 일부 ODM은 납품단가 10% 미만 인상. 한국콜마·코스맥스는 아직 원가 상승분 미반영 — 고객사 대부분이 인디브랜드라 가격 인상 여력이 적음 (ODM이 가격을 못 올림 = 공급자 협상력 약함),loose,브랜드사에 공급하는 단가 자체가 낮기 때문에 가격 상승분을 반영할 필요가 있다 … 상황이 장기화하면 원가에 반영될 가능성이 높다,파이낸셜뉴스,https://www.fnnews.com/news/202604221446310106
2026-05-14,"1Q26: 한국콜마 국내 매출 3,430억(+47.1%), 코스맥스 국내 4,232억(+16.7%). 중소기업 화장품 수출 1Q26 21.8억달러(+21.3%) 분기 최대",tight,K뷰티의 수출의 엔진 역할을 하는 기업으로 진화하고 있다,비즈워치,https://news.bizwatch.co.kr/article/consumer/2026/05/13/0029
2026-05-22,"코스맥스 평택 605억 증설(10월 완료) + 평택 3공장 1,200억 추가; 공장 1동당 캐파 약 2억개. 한국콜마 세종·인천 증설, 559억 물류자동화(2027 완공)",tight,평균적으로 공장 한 동 운영 시 생산량(CAPA)이 2억개 내외로 늘어나,IB토마토,https://www.newstomato.com/ReadNews.aspx?no=1301846
2026-07-01,"ODM 납기 3~6개월 (정상 운영 범위로 서술, 병목 언급 없음)",neutral,화장품 ODM 제조사의 납기 기간은 3~6개월이다,네이트뉴스,https://news.nate.com/view/20260701n35242
2026-08-11,"코스맥스 2Q26 매출 7,949억(+27%), 영업이익 737억(+21%) 분기 최대; 국내 5,184억(+23%), 미국 538억(+79%) 첫 흑자. 1H26 매출 +22%",tight,K-뷰티 글로벌 인기와 국내 인디브랜드의 해외 진출 확대,허프포스트코리아/네이트,https://www.huffingtonpost.kr/article/259486
2026-08-12,"한국콜마 2Q26 매출 8,613억(+17.8%), 영업이익 1,103억(+50.2%) 분기 첫 1,000억 돌파. 1H26 매출 +14.8%",tight,2분기 영업익 1103억…분기 첫 1000억 돌파,아주경제,https://www.ajunews.com/view/20260812170209563
2026-08-31,"ODM 3사 건설중자산 1,121억→2,278억(6개월 +103%). 코스맥스 국내 캐파 7.8억→10.2억개(+30.8%). 아모레 오산 스킨케어 가동률 103.2%, 메이크업 101.5%, 코스비전 126.3% (캐파 초과 가동)",tight,K뷰티 수요가 유럽과 글로벌 오프라인 유통망으로 확산,이투데이,https://www.etoday.co.kr/news/view/2619525
2026-09-11,"K뷰티 주문 폭주로 ODM 일제히 증설: 코스메카 오창 2,000억, 한국콜마 세종 1,733억(2028), 코스맥스 평택 605억 + 상하이·태국·인니. 1H26 수출 70억달러(+27.3%)",tight,글로벌 K-뷰티 열풍으로 화장품 주문이 급증하면서 … 생산능력 선점 경쟁이 본격화,아시아경제,https://view.asiae.co.kr/article/2026091115182633702
