date,direction,signal,quote,source,url
2026-09-11,tight,코스맥스 글로벌 캐파 35억개 → 40억개 확대 추진 · 한국콜마 국내 캐파 5.58억(2024)→6.32억개(2025),코스맥스의 글로벌 연간 생산능력은 약 35억개 수준으로 … 40억개 수준까지 확대하는 방안을 추진 중,헤럴드경제,https://biz.heraldcorp.com/article/10870205
2026-09-11,tight,"코스메카 오창 생산기지 총 2,000억 투자(토지·건물 640억 + 설비 1,360억)",오창 생산기지에 들어가는 투자액은 총 2000억원에 달한다,아시아경제,https://view.asiae.co.kr/article/2026091115182633702
2026-09-01,tight,"한국콜마 2Q26 생산능력 7.78억개, 가동률 81%(전년 83%) · 노후설비 교체로 3~4Q 생산여력 단계 확대 · 세종 신공장 2027 하반기",2분기 생산능력은 7억7800만개로 전 분기보다 늘었다,시대일보,https://www.sidae.com/article/2026090110061885472
2026-08-31,tight,"코스맥스·코스메카·펌텍 건설중인자산 1,121억(2025말)→2,278억(2026.6) +103% · 중소 ODM 2교대·외주 분담",일부 중소형 ODM업체는 2교대를 도입하고 노후 장비를 교체했으며 제조·충전·포장 공정은 외부 전문업체와 분담,이투데이,https://www.etoday.co.kr/news/view/2619525
2026-08-31,tight,"코스맥스 상반기 매출 1.5조 근접, 가동률 높지만 신규 수주 문제 없다(회사)","가동률이 높은 상태지만, 신규 물량 수주에는 문제가 없다",뉴스토마토,https://www.newstomato.com/ReadNews.aspx?no=1312002
2026-08-25,tight (미검증),ODM 라인 포화로 인디 브랜드 납기 수개월 지연 — 페이지 인코딩 깨져 원문 미확인,실제 납기가 몇달째 밀리고 있는,마이데일리(네이트),https://news.nate.com/view/20260825n30558
2026-08-13,tight,한국콜마 본사 가동률 81% · '중단기 성장 제약은 수요가 아니라 생산능력과 조업일수'(삼성증권),중단기 성장 제약 요인은 수요가 아닌 생산능력과 조업일수,이데일리(삼성증권 정동희),https://edaily.co.kr/News/Read?mediaCodeNo=257&newsId=03384966645546992
2026-06-08,tight,1~5월 수출 사상 최대 · 납기 단축·캐파 확대 위해 ODM 풀가동,ODM 업체들이 풀가동에 나섰다,아주경제(네이트),https://news.nate.com/view/20260608n25169
2026-04-20,tight (원부자재),1H26 납기 차질은 ODM 라인이 아니라 원부자재·용기 공급(중동전쟁) 때문 — ODM 단가 인상 <10%,ODM 용기 공급 지연으로 납기 어려움,메리츠증권 박종대,http://home.imeritz.com/include/resource/research/WorkFlow/20260419223822048K_02.pdf
2026-03-18,tight,코스맥스·한국콜마 국내 가동률 계속 상승 · 1Q26 국내 매출 +20%(가이던스 10~13% 상회) · 하이드로겔 ODM 캐파 부족으로 라인 증설·2교대,주요 ODM 업체들의 국내 공장 가동률은 계속 올라가고 있다,메리츠증권 박종대,https://home.imeritz.com/include/resource/research/WorkFlow/20260318085841613K_02.pdf
2026-03-18,loose (소형),엔에프씨 ODM 가동률 60%(8시간 기준) — 소형 ODM은 여력 있음,현재 ODM 가동률은 60%(8시간 근무 기준) 정도,메리츠증권 박종대,https://home.imeritz.com/include/resource/research/WorkFlow/20260318085841613K_02.pdf
2026-02-03,tight,한국콜마 세종 11개 라인 풀가동 · 계약→납품 최소 3개월,11개 라인이 모두 풀 가동되고 있었다,헤럴드경제 르포(다음),https://v.daum.net/v/20260203203147237
2026-01-08,loose (4Q25),"코스맥스 국내 고수익 대량주문 감소, 소량·다품종로 마진 압박 · 한국콜마 미국 가동률 저하",소량·다품종 주문이 늘어나면서 생산 효율과 마진 모두 압박,쿠키뉴스(삼성증권 이가영),https://www.kukinews.com/article/view/kuk202601070221
2026-01-05,loose (4Q25),"4Q25 조업일수 감소·고객사 재고조정으로 업종 성장 둔화 · 한국콜마 미국 매출 −50% 적자전환 · 2026 ODM 매출 +10~15% 전망, 단납기 수주 비중 확대",고객사 재고 조정 영향으로 업종 전반에서 성장 둔화가 불가피,키움증권 조소정,https://bbn.kiwoom.com/rfCI5514
2025-11-21,loose (4Q25),"코스맥스 국내 소규모 오더 증가로 수익성 약화, 중국 오더 감소로 고정비 부담",소규모 오더 증가로 수익성이 약화되고 중국 법인도 오더 감소,키움증권 조소정,https://bbn.kiwoom.com/rfCI5483
2026-08-07,loose (해외),"한국콜마 무석 공장 매출 1,588억 = 금액 기준 캐파의 약 29% (5.5억개·5,500억)",지난해 매출 1588억 원은 금액 기준 생산능력의 약 29%에 불과,비즈니스포스트,https://www.businesspost.co.kr/BP?command=article_view&num=444219
2025-05-14,tight,코스맥스 국내 캐파 2025 라인 증설로 +30% → 10억개 이상,전년 대비 30% 늘어난 10억개 이상까지 CAPA를 확대,CEO스코어데일리,https://www.ceoscoredaily.com/page/view/2025051416025913663
2025-01-10,tight,한국콜마 가동률 2023 96.6% → 1H24 102.4% · 2025 캐파 20%+ 증설,2025년에는 생산 CAPA 추가(20% 이상)로 증설 효과,팜뉴스(하나증권 박은정),https://www.pharmnews.com/news/articleView.html?idxno=256615
